Mã hàng;Mã vạch;Tên hàng;Thương hiệu;Giá bán;Giá vốn;Tồn kho;KH đặt;Dự kiến hết hàng;Tồn nhỏ nhất;Tồn lớn nhất;ĐVT;Mã ĐVT Cơ bản;Quy đổi;Thuộc tính;Mã HH Liên quan;Trọng lượng;Đang kinh doanh;Được bán trực tiếp;Giá sỉ
DT1-1;DT1L;Sữa kun hương dâu túi 110ml;Kun;46.000,0;41.800,00;16,10;;;0,0;0,0;chục;DT1;10,0;;DT1;0,0;1;1;0,0
DT1-2;DT1T;Sữa kun hương dâu túi 110ml;Kun;108.000,0;100.320,00;6,708;;;0,0;0,0;thùng;DT1;24,0;;DT1;0,0;1;1;0,0
KS1;;Sữa Kun vị Socola hộp 110ml;Kun;6.000,0;4.332,00;175,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KS1-1;8936025771118;Sữa Kun vị Socola hộp 110ml;Kun;19.000,0;17.328,00;43,750;;;0,0;0,0;lóc;KS1;4,0;;KS1;0,0;1;1;0,0
KS1-2;KS1T;Sữa Kun vị Socola hộp 110ml;Kun;200.000,0;207.936,00;3,646;;;0,0;0,0;thùng;KS1;48,0;;KS1;0,0;1;1;0,0
NT1;8936025773013;Sữa kun vị nho túi 110ml;Kun;5.000,0;4.167,00;153,0;;;0,0;0,0;túi;;1,0;;;0,0;1;1;0,0
NT1-2;NT1T;Sữa kun vị nho túi 110ml;Kun;108.000,0;100.008,00;6,375;;;0,0;0,0;thùng;NT1;24,0;;NT1;0,0;1;1;0,0
NT1-1;NT1L;Sữa kun vị nho túi 110ml;Kun;46.000,0;41.670,00;15,30;;;0,0;0,0;chục;NT1;10,0;;NT1;0,0;1;1;0,0
KB18;;Sữa Kun bắp non hộp 180ml;Kun;9.000,0;5.880,00;8,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KB18-1;8936025772771;Sữa Kun bắp non hộp 180ml;Kun;29.000,0;23.520,00;2,0;;;0,0;0,0;lóc;KB18;4,0;;KB18;0,0;1;1;0,0
KB18-2;PVN1636;Sữa Kun bắp non hộp 180ml;Kun;164.000,0;141.120,00;0,333;;;0,0;0,0;thùng;KB18;24,0;;KB18;0,0;1;1;0,0
KC18;PVN2334;Sữa Kun vị cam hộp 180ml;Kun;8.000,0;6.156,00;50,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
KC18-1;8936025771217;Sữa Kun vị cam hộp 180ml;Kun;27.000,0;24.624,00;12,50;;;0,0;0,0;lóc;KC18;4,0;;KC18;0,0;1;1;0,0
KC18-2;PVN2336;Sữa Kun vị cam hộp 180ml;Kun;308.000,0;295.488,00;1,042;;;0,0;0,0;thùng;KC18;48,0;;KC18;0,0;1;1;0,0
