ma_hang;ma_vach;ten_hang;thuong_hieu;gia_ban;gia_von;ton_kho;ton_nho_nhat;ton_lon_nhat;dvt;ma_dvt_co_ban;quy_doi;ma_hh_lien_quan;trong_luong;gia_si
SP000690;8934952005962;Bánh mì Kido vị gà nướng xốt hồng kông bịch 55g;Kido;10000;8100;0;;;bịch;;1;;;0
SP000691;8934952006044;Bành mì đài loan Kido phô mai Castella gói 40g;Kido;10000;8100;0;;;bịch;;1;;;0
SP000692;8934952005511;Bành mì Kido chà bông xốt Singapore gói 55g;Kido;10000;8100;0;;;bịch;;1;;;0
SP000693;8934952006426;Bánh Kido đậu xanh sầu riêng bịch;Kido;7000;5500;0;;;bịch;;1;;;0
SP000694;8934952006419;Bánh Kido đậu đỏ kiểu nhật bịch;Kido;7000;5500;0;;;bịch;;1;;;0
SP000695;8934952005948;Bánh mì hoa cúc Kido bịch 80g;Kido;14000;12000;0;;;bịch;;1;;;0
SP000696;8934952006457;Bánh mì Kido vị socola bịch 55g;Kido;8000;6500;0;;;bịch;;1;;;0
SP000697;8934952006433;Bành mì Kido vị kem lá dứa bịch 80g;Kido;10000;8500;0;;;bịch;;1;;;0
SP000698;8934952006440;Bánh mì Kido vị dâu việt quốc bịch 80g;Kido;10000;8500;0;;;bịch;;1;;;0
SP000699;8934952006464;Bánh mì Kido vị bơ sữa bịch 55g;Kido;8000;6000;0;;;bịch;;1;;;0
SP000700;8934952006518;Bánh Kido bông lan trứng chà bông bịch 50g;Kido;10000;8500;0;;;bịch;;1;;;0
SP000701;8934952006525;Bánh Kido hương nho việt quất bịch 80g;Kido;10000;8500;0;;;bịch;;1;;;0
SP000702;8934952007300;KIDO xúc xích sốt pizza ý 55g;Kido;10000;8800;0;;;bịch;;1;;;0
SP000703;8934680040136;BMT KĐ ổ sữa bịch 80g;Kinh Đô;8000;7100;0;;;bịch;;1;;;0
SP000704;8934680044264;BMT KĐ ổ dài vị bơ sữa 90g;Kinh Đô;9000;8000;0;;;bịch;;1;;;0
SP000705;8934680044349;BMT KĐ ổ dài vị Socola 90g;Kinh Đô;9000;7900;0;;;bịch;;1;;;0
SP000706;8934680043748;BMT KĐ vị Chà bông 80g;Kinh Đô;10000;9000;0;;;bịch;;1;;;0
SP000707;8934680044387;BMT KĐ ổ dài nhân khoai môn 90g;Kinh Đô;9000;8000;0;;;bịch;;1;;;0
SP000708;8934680046145;BMT Kinh Đô Gà sốt thái cay 60g;Kinh Đô;10000;9000;0;;;bịch;;1;;;0
SP000709;8934680045421;BMT KĐ Sandwich chà bông gói 50g;Kinh Đô;7000;5800;0;;;bịch;;1;;;0
SP000710;8934952005528;BMT Kido's trân châu lava trứng muối;Kido;10000;8100;0;;;bịch;;1;;;0
SP000711;8934952005955;BMT Kido's Tokoyaki xốt Nhật Bản;Kido;10000;8100;0;;;bịch;;1;;;0
SP000712;8934680043199;BMT KĐ vị lá dứa bịch 40g;Kinh Đô;7000;6000;0;;;bịch;;1;;;0
SP000713;8934680046909;BMT Kinh Đô burger gà bịch 70g;Kinh Đô;10000;9000;0;;;bịch;;1;;;0
SP000714;8934680046978;BMT KĐ vị Gà xốt thái cay gói 55g;Kinh Đô;13000;12000;0;;;bịch;;1;;;0
SP000715;8934680043144;BMT KĐ nhân socola bịch 40g;Kido;7000;6000;0;;;bịch;;1;;;0
SP000716;8934952007423;BMT Kido vị bơ sữa bịch 80g;Kinh Đô;10000;8075;0;;;bịch;;1;;;0
SP000717;8934680047289;BMT KD ổ dài vị cà phê sữa dừa bịch 90g;Kinh Đô;9000;7900;0;;;bịch;;1;;;0
SP000718;8936048474577;Trà Mật ong Boncha vị việt quốc chai 450ml;Boncha;9000;6910;0;;;chai;;1;;;0
SP000719;PVN1631;Trà Mật ong Boncha vị việt quốc chai 450ml;Boncha;48000;41460;0;;;lóc;SP000718;6;SP000718;;0
SP000720;PVN1632;Trà Mật ong Boncha vị việt quốc chai 450ml;Boncha;180000;165840;0;;;thùng;SP000718;24;SP000718;;0
SP000721;8936048474539;Trà mật ong Boncha vị chanh chai 450ml;Boncha;9000;6905;0;;;chai;;1;;;0
SP000722;PVN1629;Trà mật ong Boncha vị chanh chai 450ml;Boncha;48000;41430;0;;;lóc;SP000721;6;SP000721;;0
SP000723;PVN1630;Trà mật ong Boncha vị chanh chai 450ml;Boncha;180000;165720;0;;;thùng;SP000721;24;SP000721;;0
SP000724;8936048474553;Trà mật ong Boncha vị tắc chai 450ml;Boncha;9000;7272;0;;;chai;;1;;;0
SP000725;PVN2611;Trà mật ong Boncha vị tắc chai 450ml;Boncha;48000;43632;0;;;lóc;SP000724;6;SP000724;;0
SP000726;PVN2612;Trà mật ong Boncha vị tắc chai 450ml;Boncha;180000;174528;0;;;thùng;SP000724;24;SP000724;;0
SP000727;8936048476885;Trà Boncha hương chanh nhật Yuzu chai 450ml;Boncha;9000;7014;0;;;chai;;1;;;0
SP000728;PVN9394;Trà Boncha hương chanh nhật Yuzu chai 450ml;Boncha;48000;42084;0;;;lóc;SP000727;6;SP000727;;0
SP000729;PVN9395;Trà Boncha hương chanh nhật Yuzu chai 450ml;Boncha;180000;168336;0;;;thùng;SP000727;24;SP000727;;0
SP000730;8936034877726;XX HEO CAO BỒI xốt Spaghetti;Ponnie;10000;8345;6;;;hũ;;1;;;0
SP000731;8936034877740;XX heo cao bồi xốt trứng muối 48g;Ponnie;10000;8345;5;;;hũ;;1;;;0
SP000732;8936034877764;Xúc xích Heo cao bồi xốt tôm sữa;Ponnie;10000;9000;6;;;hũ;;1;;;0
SP000733;8936034875128;Xúc xích lắc Heo Cao Bồi vị phô mai bắp bơ;Ponnie;10000;8500;6;;;hộp;;1;;;0
SP000734;8936034876422;Xúc xích heo cao bồi vị trứng muối;Ponnie;10000;8838;6;;;hộp;;1;;;0
SP000735;8936034877757;XX heo cao bồi lắc phô mai bắp bơ;Ponnie;10000;8345;6;;;hộp;;1;;;0
SP000736;8936034876439;Xúc xích heo cao bồi lắc thịt nướng phô mai hộp;Ponnie;10000;9000;6;;;hộp;;1;;;0
SP000737;8936034876590;Heo cao bồi chu du 3+1;Ponnie;10000;8800;6;;;hộp;;1;;;0
SP000738;8936034876583;Xúc xích Heo cao hồi lắc hương vị Sôcôla;Ponnie;10000;9000;6;;;hộp;;1;;;0
SP000739;8936034876774;Xúc xích Heo cao bồi cuốn cuộn rong biển bịch 48.5g;Ponnie;16000;12600;4;;;bịch;;1;;;0
SP000740;8936034876781;Xúc xích heo cao bồi cuốn bánh bịch 49.5g;Ponnie;16000;12624;4;;;bịch;;1;;;0
SP000741;8936034876606;Xúc xích Heo cao bồi lắc vị tôm yum;Ponnie;10000;9000;3;;;hộp;;1;;;0
SP000742;8936034877467;Xúc xích heo cao bồi cuốn rong biển xốt kem trứng Tomato 48.5g;Ponnie;16000;12600;3;;;bịch;;1;;;0
SP000743;8936034877207;Xúc xích heo cao bồi nhân phô mai vị bắp cây 32g;Ponnie;6000;4100;1;;;cây;;1;;;0
SP000744;8936034877351;Xx Heo cao bồi lắc vị kim chi Bulgogi;Ponnie;10000;9000;3;;;hộp;;1;;;0
SP000745;8936034877214;Xúc xích heo cao bồi nhân phô mai vị nguyên bản cây 32g;Ponnie;6000;4100;3;;;cây;;1;;;0
SP000746;8936034877085;Xx Heo Cao Bồi nhân phô mai vị bắp hộp;Ponnie;26000;22500;3;;;hộp;;1;;;0
SP000747;8936034878174;Xúc xích Heo cao bồi xì xèo xốt phô mai bắp bơ bịch 38g;Ponnie;10000;8000;3;;;bịch;;1;;;0
SP000748;8936034878228;Xúc xích Heo Cao Bồi xì xèo xốt me chua ngọt bịch 38g;Ponnie;10000;8000;3;;;bịch;;1;;;0
SP000749;8936034875258;Xúc xích PONNIE thịt heo bịch 35g;Ponnie;20000;16021;0;;;bịch;;1;;;0
SP000750;PVN5786;Xúc xích PONNIE thịt heo bịch 35g;Ponnie;375000;320420;0;;;thùng;SP000749;20;SP000749;;0
SP000751;8936034875838;Xúc xích Ponnie cây 70g;Ponnie;8000;7005;0;;;Cây;;1;;;0
SP000752;8936034875708;Xúc xích Ponnie cây 70g;Ponnie;30000;28020;0;;;bịch;SP000751;4;SP000751;;0
SP000753;PVN5777;Xúc xích Ponnie cây 70g;Ponnie;565000;560400;0;;;thùng;SP000751;80;SP000751;;0
SP000754;PVN5948;Xúc xích Ponnie cây 21gr;Ponnie;2000;1800;0;;;cây;;1;;;0
SP000755;8936034876330;Xúc xích Ponnie cây 21gr;Ponnie;10000;9000;0;;;bịch;SP000754;5;SP000754;;0
SP000756;8936034876965;hotdog PONNIE giòn ăn liền vị sườn nướng 28g;Ponnie;8000;6000;4;;;cây;;1;;;0
SP000757;8936034876491;Hot dog PONNIE vị cay tươi ngon gói 28g;Ponnie;8000;4740;4;;;cây;;1;;;0
SP000758;8936034876507;XX hotdog PONNIE giòn bắp 28g;Ponnie;8000;6000;3;;;cây;;1;;;0
SP000759;8936034875357;Xúc xích Ponnie nhân thịt phô mai cây 45g;Ponnie;10000;8000;4;;;cây;;1;;;0
CP2;6933018911683;Xúc xích heo CP 200g;CP;5000;3600;0;;;cây;;1;;;0
CP2L;8935058912277;Xúc xích heo CP 200g;CP;20000;18000;0;;;gói;CP2;5;CP2;;0
SP000762;PVN8023;Xúc xích heo CP 200g;CP;375000;360000;0;;;thùng;CP2;100;CP2;;0
CP1;;Xúc xích heo CP 100g;CP;2000;1825;73;;;cây;;1;;;0
